ID,Brand,Model,Year,Color,Mileage,Price,Condition
107,Volvo,Generic Model 3,2003,Green,86062,75345,New
108,Mazda,Generic Model 1,1998,Green,49930,35692,New
109,Ford,Focus,1994,Blue,132741,67509,Used
110,Volvo,Generic Model 1,2018,Green,160907,20362,Used
111,Hyundai,Generic Model 2,2018,Silver,158961,59218,Used
112,BMW,Generic Model 1,2022,Green,32292,18561,Used
113,Nissan,Generic Model 2,2010,Silver,144445,10588,Used
114,Chevrolet,Generic Model 2,1991,Black,148201,66481,Used
115,Jaguar,Generic Model 1,1996,Green,19385,53228,Used
116,Porsche,Generic Model 2,1996,White,47148,24865,New
117,Toyota,Tacoma,2006,Green,149866,25988,Used
118,Volkswagen,Generic Model 3,2002,Red,155403,44949,Used
119,Mercedes-Benz,Generic Model 3,1998,Black,120527,58955,Used
120,Jeep,Generic Model 1,1990,Green,26840,16113,New
121,Chevrolet,Generic Model 1,2001,White,78442,53381,New
122,Jeep,Generic Model 2,2012,Silver,94426,21914,New
123,Audi,Generic Model 3,1998,Black,47423,60030,New
124,Volvo,Generic Model 3,2001,White,20031,35002,Used
125,Audi,Generic Model 1,2017,Red,96581,17658,Used
126,Mazda,Generic Model 2,2020,Green,41070,14010,Used
127,Lexus,Generic Model 3,1999,Blue,192485,35885,Used
128,Lexus,Generic Model 1,2014,White,136972,73946,Used
129,Jaguar,Generic Model 1,2017,Blue,152582,28252,New
130,Kia,Generic Model 2,1993,Silver,34869,63937,New
131,Ford,Escape,2015,Black,5954,60334,Used
132,Ford,F-150,2021,Red,33229,58111,New
133,Mercedes-Benz,Generic Model 2,1996,Black,21310,74204,New
134,Audi,Generic Model 2,2000,Silver,7004,75112,Used
135,Jeep,Generic Model 2,2005,Green,77233,55002,New
136,Toyota,Prius,2011,Green,77591,44449,New
137,Jaguar,Generic Model 1,2003,Blue,11199,34731,New
138,Mercedes-Benz,Generic Model 1,2019,Blue,92666,45687,Used
139,Tesla,Generic Model 2,2015,White,165337,59308,Used
140,Volvo,Generic Model 1,2007,Green,138586,34098,New
141,Audi,Generic Model 2,2020,White,199520,62364,New
142,Jaguar,Generic Model 1,2013,Black,189541,55485,Used
143,Audi,Generic Model 3,2008,Silver,172431,16251,New
144,Hyundai,Generic Model 2,2016,Green,11282,35006,New
145,Mercedes-Benz,Generic Model 2,2001,Silver,19963,8670,New
146,Mercedes-Benz,Generic Model 2,2004,Red,7522,73981,New
147,Subaru,Generic Model 1,2005,Blue,64753,10048,Used
148,Subaru,Generic Model 3,2012,White,10264,69928,New
149,Honda,Odyssey,2021,White,79226,61222,New
150,Jeep,Generic Model 2,2014,Green,199453,54427,Used
151,Jeep,Generic Model 2,1991,Green,7297,74757,New
152,Hyundai,Generic Model 2,1998,Blue,40977,38444,Used
153,Audi,Generic Model 3,2014,Blue,48410,35591,Used
154,Volkswagen,Generic Model 3,2004,Silver,160584,72316,Used
155,Audi,Generic Model 2,2002,Silver,27918,20054,New
156,Lexus,Generic Model 3,2001,Silver,16091,67174,New
157,Tesla,Generic Model 3,2019,Silver,188500,34659,New
158,Volvo,Generic Model 1,1990,Red,12524,51232,Used
159,Jeep,Generic Model 3,2004,Black,165765,51805,Used
160,Volvo,Generic Model 1,1995,Red,13391,30300,New
161,Land Rover,Generic Model 3,2001,Red,136198,35574,Used
162,Mercedes-Benz,Generic Model 3,2002,White,11423,63583,Used
163,Mazda,Generic Model 3,1997,Red,70253,26725,New
164,Porsche,Generic Model 3,1991,Blue,67896,36217,New
165,Honda,Odyssey,2016,White,183249,51067,Used
166,Mazda,Generic Model 3,2016,Silver,195046,32465,New
167,Mazda,Generic Model 1,2018,Red,79387,24335,New
168,BMW,Generic Model 2,2008,Silver,187215,32491,Used
169,Tesla,Generic Model 3,1995,Black,154867,28460,New
170,Chevrolet,Generic Model 1,1998,Blue,175237,48044,Used
171,Jaguar,Generic Model 1,2015,Black,22105,43500,New
172,Land Rover,Generic Model 2,2003,Red,170141,24704,New
173,Mazda,Generic Model 1,1997,White,32110,34163,New
174,Honda,Pilot,2021,Green,156309,36418,Used
175,Subaru,Generic Model 3,2004,White,191236,41817,New
176,Jeep,Generic Model 3,2007,Red,186581,73685,Used
177,Mercedes-Benz,Generic Model 3,2003,Red,128444,39116,New
178,Land Rover,Generic Model 1,1997,Green,91662,79540,Used
179,Toyota,Highlander,2020,Red,137970,12127,Used
180,Mazda,Generic Model 3,2007,Silver,24646,48569,Used
181,Lexus,Generic Model 2,1995,Green,41340,65071,Used
182,Volvo,Generic Model 3,2011,Green,101561,57409,New
183,Subaru,Generic Model 2,2022,Black,123643,25894,New
184,Jaguar,Generic Model 3,2000,Silver,149814,38056,Used
185,Mazda,Generic Model 1,2022,Red,170294,41044,Used
186,Kia,Generic Model 3,1999,Silver,135354,20919,New
187,Porsche,Generic Model 3,2020,White,29565,57703,New
188,Jeep,Generic Model 1,2010,Blue,58628,8218,Used
189,Audi,Generic Model 3,1992,Red,147047,46455,New
190,Ford,Focus,2019,Green,59756,8794,New
191,Tesla,Generic Model 1,2009,Blue,21908,6943,New
192,Ford,Edge,2004,Red,111458,8358,New
193,Land Rover,Generic Model 1,2010,White,93928,76051,Used
194,Jeep,Generic Model 3,2015,Silver,25468,32794,Used
195,Volvo,Generic Model 1,1995,White,77689,46245,Used
196,Subaru,Generic Model 1,2019,Black,64937,38809,New
197,Nissan,Generic Model 2,2017,Blue,26973,14731,Used
198,BMW,Generic Model 3,1996,Black,165667,70634,Used
199,Mercedes-Benz,Generic Model 1,2010,Black,84302,74446,Used
200,Subaru,Generic Model 3,1991,Red,23109,69468,Used
201,Lexus,Generic Model 2,1992,Green,180820,9992,Used
202,Jaguar,Generic Model 1,2013,Blue,123238,19167,New
203,Land Rover,Generic Model 1,1997,Red,33203,75273,Used
204,Lexus,Generic Model 1,2020,Blue,129044,74784,Used
205,Kia,Generic Model 3,2018,Silver,126094,43403,New
206,Ford,Edge,2017,Green,101807,50027,Used
207,Volvo,Generic Model 3,1993,Red,104720,13077,Used
208,Volkswagen,Generic Model 2,1999,Black,109434,54995,Used
209,Jeep,Generic Model 2,2004,Green,13687,57114,New
210,Land Rover,Generic Model 2,1991,White,9932,5888,New
211,Lexus,Generic Model 3,2003,Red,123254,12524,New
212,Subaru,Generic Model 3,2001,Black,37833,23036,New
213,Volkswagen,Generic Model 2,2001,Blue,99744,60390,New
214,Tesla,Generic Model 3,2005,Silver,37917,9543,Used
215,Porsche,Generic Model 1,2018,White,174889,56847,New
216,Honda,Accord,2013,White,168299,78195,New
217,Volvo,Generic Model 2,2016,Blue,73893,47594,New
218,Kia,Generic Model 2,2010,White,17075,19395,New
219,Nissan,Generic Model 3,1998,Black,141743,70400,New
220,Ford,Escape,2018,Blue,41367,21627,New
221,Honda,Fit,2011,Green,164347,13146,Used
222,Chevrolet,Generic Model 2,1993,Green,14057,45024,New
223,Hyundai,Generic Model 1,2011,White,134165,61469,New
224,Jaguar,Generic Model 2,2009,Green,27938,46446,New
225,Mazda,Generic Model 3,1993,Black,83134,36699,New
226,Jaguar,Generic Model 2,2017,Green,14710,13456,Used
227,Ford,Mustang,2020,Silver,165326,15119,New
228,Mercedes-Benz,Generic Model 3,1996,White,196876,20630,New
229,Ford,F-150,2020,Red,93280,71651,New
230,Volkswagen,Generic Model 2,2012,Red,18888,51311,Used
231,Mazda,Generic Model 1,2003,Red,151912,22485,Used
232,Ford,Mustang,2015,White,166916,30689,New
233,Volvo,Generic Model 2,1990,Red,38413,57216,New
234,Tesla,Generic Model 3,2014,Red,110729,46100,New
235,Jaguar,Generic Model 3,2010,Red,48826,44055,Used
236,Audi,Generic Model 2,1990,Red,17389,12900,New
237,Audi,Generic Model 1,2016,Red,14021,7032,New
238,Toyota,Highlander,2020,Black,171435,24712,Used
239,Land Rover,Generic Model 2,2009,Blue,131249,42756,Used
240,Hyundai,Generic Model 2,2008,Black,166929,24877,New
241,Mazda,Generic Model 3,1995,Silver,53971,38809,Used
242,Subaru,Generic Model 3,2015,Blue,11030,35974,Used
243,Toyota,Prius,2010,White,110221,73029,Used
244,Mercedes-Benz,Generic Model 3,2005,White,164481,40156,Used
245,Tesla,Generic Model 2,1992,Blue,13258,50633,Used
246,Audi,Generic Model 3,2018,Black,48719,6707,Used
247,Kia,Generic Model 3,2018,White,128747,32819,New
248,Ford,Focus,1990,Green,78724,66999,Used
249,Jaguar,Generic Model 1,2020,Black,112014,49568,Used
250,Ford,Mustang,2007,Blue,123676,45034,Used
251,Kia,Generic Model 2,2022,Blue,140600,23415,New
252,BMW,Generic Model 1,2017,Red,123056,15755,Used
253,Tesla,Generic Model 3,1998,Red,142926,27420,Used
254,Toyota,Corolla,2001,Blue,118921,45130,New
255,Mazda,Generic Model 2,1999,Silver,156441,7138,Used
256,Chevrolet,Generic Model 1,2019,Green,8256,31146,Used
257,Jeep,Generic Model 3,1992,Green,147461,61477,Used
258,Mercedes-Benz,Generic Model 2,1992,Black,183125,52065,Used
259,Chevrolet,Generic Model 2,1992,White,19220,64885,New
260,Toyota,Corolla,1994,Silver,60904,61503,New
261,Nissan,Generic Model 2,1990,White,145251,5048,Used
262,Tesla,Generic Model 3,2016,White,25521,76769,New
263,Honda,Civic,1998,Silver,134848,51583,New
264,Toyota,Camry,2010,Black,97713,22344,New
265,Porsche,Generic Model 1,2022,White,168665,44210,New
266,Lexus,Generic Model 3,2011,Silver,104500,19585,Used
267,Jaguar,Generic Model 1,2003,Silver,157350,79177,Used
268,Audi,Generic Model 2,1997,Black,186822,31265,New
269,Tesla,Generic Model 3,2012,White,164062,62185,Used
270,Honda,Fit,2003,Green,72047,60101,Used
271,Mazda,Generic Model 2,1991,Blue,190353,24682,Used
272,Lexus,Generic Model 1,1999,Red,159530,23597,Used
273,Volkswagen,Generic Model 2,2009,White,182796,35779,New
274,Nissan,Generic Model 2,1996,Silver,136827,6937,Used
275,Subaru,Generic Model 3,2005,Red,47243,32824,Used
276,Subaru,Generic Model 1,2000,White,54579,33603,New
277,Audi,Generic Model 1,2005,Green,57971,56945,New
278,Toyota,Corolla,2002,Blue,59908,65054,New
279,Subaru,Generic Model 3,2008,Silver,16500,52150,New
280,Ford,Mustang,2013,Black,53672,21791,Used
281,Lexus,Generic Model 1,1995,Blue,118150,51960,Used
282,Kia,Generic Model 3,1994,Silver,67388,66227,Used
283,Jaguar,Generic Model 3,2017,Black,55704,64981,Used
284,Lexus,Generic Model 3,2010,Green,61038,66102,New
285,Mercedes-Benz,Generic Model 3,1990,Silver,37908,64188,New
286,Audi,Generic Model 3,2016,Black,49074,23848,Used
287,Subaru,Generic Model 2,2000,Blue,51815,16240,Used
288,Mazda,Generic Model 2,2007,Black,17501,74161,New
289,Honda,Fit,2000,Red,120832,60194,New
290,Lexus,Generic Model 1,2013,Silver,58921,56374,New
291,Mazda,Generic Model 1,2000,Blue,82107,45929,New
292,BMW,Generic Model 2,1997,Black,52771,28960,New
293,Hyundai,Generic Model 3,2017,Red,18738,76350,Used
294,Mercedes-Benz,Generic Model 1,1991,Red,108454,48986,Used
295,Toyota,Prius,2006,Black,162486,7247,Used
296,Porsche,Generic Model 1,1993,Black,197475,45492,New
297,Toyota,Camry,1992,Green,54257,13805,Used
298,Chevrolet,Generic Model 2,1996,Green,131327,66879,New
299,Honda,Odyssey,2013,White,50076,33930,New
300,Porsche,Generic Model 1,2019,Green,120062,68960,New
301,Subaru,Generic Model 1,2016,Blue,167798,76597,Used
302,Tesla,Generic Model 2,1995,Green,19419,66975,Used
303,Land Rover,Generic Model 1,2007,Blue,57026,12852,New
304,Land Rover,Generic Model 3,2022,White,186313,34265,Used
305,Volkswagen,Generic Model 1,2006,Green,25134,69300,Used
306,Chevrolet,Generic Model 2,2012,Black,67659,76230,New
307,Audi,Generic Model 2,2014,Blue,126509,60498,Used
308,Volkswagen,Generic Model 3,1991,Red,56444,64123,New
309,Mazda,Generic Model 1,2010,Silver,117996,59960,New
310,BMW,Generic Model 2,2001,White,199148,71868,Used
311,Volvo,Generic Model 3,1999,Silver,63547,21028,Used
312,Kia,Generic Model 2,2022,White,186046,69431,New
313,Honda,Fit,1995,Black,168143,71528,New
314,Tesla,Generic Model 1,1994,White,168605,37461,Used
315,Porsche,Generic Model 3,2021,Silver,191293,30035,New
316,Jeep,Generic Model 3,2009,Silver,66157,25858,Used
317,Tesla,Generic Model 3,2016,Silver,78124,74264,Used
318,Chevrolet,Generic Model 2,2017,White,5349,33386,Used
319,Hyundai,Generic Model 1,1992,Silver,109136,9462,New
320,Nissan,Generic Model 1,2022,Green,155171,31443,New
321,BMW,Generic Model 1,2000,Silver,168609,11973,Used
322,Jeep,Generic Model 2,2020,Black,197988,59485,Used
323,Nissan,Generic Model 2,1993,Silver,51444,8362,New
324,Mercedes-Benz,Generic Model 1,2012,Red,96451,69240,New
325,Audi,Generic Model 3,2000,Blue,134918,57333,New
326,Honda,Civic,2008,Green,71998,29469,New
327,Toyota,Tacoma,2006,Green,57802,67951,New
328,Mercedes-Benz,Generic Model 1,1991,Silver,8166,51374,New
329,Jaguar,Generic Model 2,2009,Red,110688,51742,New
330,Jaguar,Generic Model 3,1999,Blue,197538,38997,Used
331,Jaguar,Generic Model 1,1997,Blue,36795,32342,Used
332,Nissan,Generic Model 3,2010,White,73979,23936,Used
333,Mazda,Generic Model 3,2014,White,148835,31990,New
334,Tesla,Generic Model 2,2012,Green,150663,77858,Used
335,Volkswagen,Generic Model 2,2000,Green,123799,52180,New
336,Audi,Generic Model 2,2011,Green,20469,48352,Used
337,Jeep,Generic Model 2,2015,White,15172,50992,New
338,Nissan,Generic Model 2,2010,White,94379,77697,Used
339,Jaguar,Generic Model 2,1994,Black,90585,63969,New
340,Jeep,Generic Model 3,2016,White,101862,31298,New
341,Nissan,Generic Model 1,2017,Blue,185176,9956,New
342,Audi,Generic Model 2,1990,Silver,145525,51139,Used
343,Ford,F-150,2021,Green,66543,14292,Used
344,Jeep,Generic Model 1,2002,Silver,149462,64281,New
345,Hyundai,Generic Model 2,2012,Red,29449,71618,Used
346,Honda,Odyssey,2013,Black,62883,56441,Used
347,Jeep,Generic Model 1,1990,Blue,182663,68956,Used
348,BMW,Generic Model 2,2016,Black,49461,79679,New
349,Subaru,Generic Model 2,1991,Silver,175196,21216,New
350,Volvo,Generic Model 1,1998,White,49320,18526,New
351,Lexus,Generic Model 2,2006,Silver,18302,9816,Used
352,Nissan,Generic Model 3,2014,Green,137177,8718,New
353,Chevrolet,Generic Model 1,1993,Blue,130336,62661,Used
354,Mercedes-Benz,Generic Model 3,2022,Silver,7983,6712,Used
355,BMW,Generic Model 3,1990,Silver,91821,15226,Used
356,Volvo,Generic Model 3,2019,Silver,11985,76670,Used
357,Toyota,RAV4,1993,Silver,191198,21631,Used
358,Volvo,Generic Model 3,2004,Green,73579,24533,New
359,Chevrolet,Generic Model 1,1994,Silver,183464,23151,New
360,Jaguar,Generic Model 2,2012,Silver,20169,34485,New
361,Hyundai,Generic Model 3,2014,Silver,47065,77418,New
362,Subaru,Generic Model 2,1990,Silver,52519,63512,New
363,Jeep,Generic Model 3,2005,White,123755,54521,Used
364,BMW,Generic Model 1,2016,Red,194167,74819,New
365,Land Rover,Generic Model 3,2000,Black,123913,18298,New
366,BMW,Generic Model 2,2009,White,189204,10553,Used
367,Nissan,Generic Model 3,1990,Red,107865,71107,New
368,Audi,Generic Model 2,2003,Blue,9222,45772,New
369,Volkswagen,Generic Model 1,2017,Blue,9800,55187,New
370,Nissan,Generic Model 2,2022,Blue,122731,42310,Used
371,Subaru,Generic Model 2,2001,White,129815,34690,Used
372,Honda,Odyssey,2008,Green,124073,8067,New
373,Honda,Civic,2006,Blue,146877,76727,Used
374,Tesla,Generic Model 1,2015,Green,106084,29911,Used
375,Hyundai,Generic Model 2,2003,Blue,116582,12272,Used
376,Chevrolet,Generic Model 1,2004,Red,111363,5694,New
377,Hyundai,Generic Model 2,2018,Blue,109583,37144,Used
378,Land Rover,Generic Model 1,1994,Black,119709,65032,Used
379,Jeep,Generic Model 1,2013,Black,58526,28629,New
380,Mazda,Generic Model 1,2005,Green,92701,15009,New
381,Lexus,Generic Model 3,2017,Green,153002,17154,New
382,Lexus,Generic Model 1,2014,Blue,90681,79621,New
383,Audi,Generic Model 2,2008,Black,166458,41105,Used
384,Ford,Mustang,2011,Blue,66369,13863,New
385,Audi,Generic Model 3,2015,Black,169796,49601,New
386,Volkswagen,Generic Model 2,1991,Black,154219,36273,Used
387,Land Rover,Generic Model 3,2014,Blue,112180,73586,New
388,Jeep,Generic Model 3,1990,Black,16298,62927,Used
389,Audi,Generic Model 1,2001,Silver,116861,12479,New
390,Ford,Mustang,2008,Red,185996,52499,Used
391,BMW,Generic Model 3,2020,Silver,170908,50508,Used
392,Honda,Pilot,2008,White,32446,54750,New
393,Jeep,Generic Model 1,2007,Black,43541,49783,Used
394,Land Rover,Generic Model 2,1999,Green,62715,66072,New
395,Ford,Explorer,1999,Red,71366,75295,New
396,Porsche,Generic Model 2,1995,White,154252,19103,Used
397,Ford,Explorer,1994,Blue,150312,27435,New
398,Lexus,Generic Model 1,2000,Blue,16764,11063,New
399,Mazda,Generic Model 3,1995,Blue,34370,19801,Used
400,Porsche,Generic Model 2,2018,Black,173635,35852,New
401,Jeep,Generic Model 2,2021,White,191572,57599,New
402,Ford,Explorer,2005,Red,37047,65438,New
403,Chevrolet,Generic Model 2,1998,White,142734,20904,Used
404,Honda,Fit,1995,Black,179079,25450,Used
405,Lexus,Generic Model 2,1992,Red,60465,69281,Used
406,Tesla,Generic Model 1,2022,Silver,6154,38819,New
407,Tesla,Generic Model 3,2012,White,95050,14793,Used
408,Mazda,Generic Model 3,2016,Green,154722,66515,Used
409,Audi,Generic Model 3,2020,White,40153,39225,Used
410,Honda,CR-V,2007,White,156800,39245,Used
411,Jaguar,Generic Model 3,1992,Silver,43683,12071,Used
412,Porsche,Generic Model 3,2006,White,62459,19197,Used
413,Land Rover,Generic Model 2,2000,Green,168025,26439,Used
414,Nissan,Generic Model 1,2015,Red,167781,27832,New
415,Nissan,Generic Model 3,2004,Red,99546,16827,Used
416,Ford,F-150,2004,Red,89088,40721,New
417,Land Rover,Generic Model 3,2022,Silver,163483,25444,Used
418,Jeep,Generic Model 3,2022,Silver,192064,20508,New
419,Land Rover,Generic Model 3,2016,Black,137951,62234,Used
420,Tesla,Generic Model 2,1993,Silver,79385,26274,New
421,Porsche,Generic Model 1,1995,Silver,17915,57026,Used
422,Audi,Generic Model 1,1999,Silver,185198,51575,New
423,Mazda,Generic Model 2,2000,Green,7564,16751,Used
424,Lexus,Generic Model 3,1993,Green,173014,39985,Used
425,Nissan,Generic Model 1,2022,Silver,154423,8609,New
426,BMW,Generic Model 2,1999,Silver,59864,37149,New
427,Mazda,Generic Model 1,2012,Black,159472,21040,Used
428,Ford,Escape,1995,Silver,20017,60746,New
429,Volvo,Generic Model 1,2013,Blue,129515,32469,Used
430,BMW,Generic Model 1,2006,Silver,79767,34699,New
431,Honda,CR-V,2014,Red,51169,7361,Used
432,Toyota,Prius,1990,Black,5,34791,New
433,Audi,Generic Model 1,2010,White,4604,10946,Used
434,BMW,Generic Model 2,2004,Black,133556,22610,Used
435,Porsche,Generic Model 1,1995,Blue,62805,59491,New
436,Tesla,Generic Model 2,2018,Blue,40778,43633,New
437,Volvo,Generic Model 3,2000,White,170531,57750,New
438,Porsche,Generic Model 1,2002,Blue,58356,25220,New
439,BMW,Generic Model 2,2014,Black,177562,43015,Used
440,Chevrolet,Generic Model 3,1991,Blue,118956,37507,New
441,Nissan,Generic Model 1,1992,Black,172389,11127,Used
442,Volkswagen,Generic Model 2,1999,Green,154644,8786,New
443,Toyota,Camry,2007,Silver,142352,68352,Used
444,Kia,Generic Model 2,2022,Green,86892,30216,New
445,Toyota,Highlander,1993,Red,198222,60020,New
446,Jeep,Generic Model 2,2007,Green,142443,16224,Used
447,Subaru,Generic Model 1,2022,Blue,127832,61901,Used
448,Lexus,Generic Model 3,1990,Green,70793,25975,Used
449,BMW,Generic Model 1,2010,Green,168115,79958,New
450,Nissan,Generic Model 3,2014,Red,149824,36613,New
451,Volkswagen,Generic Model 2,2015,Silver,92605,52641,Used
452,Lexus,Generic Model 3,2016,Blue,118648,55027,Used
453,Jaguar,Generic Model 1,1997,White,151085,40160,Used
454,Porsche,Generic Model 3,2020,White,173228,79682,New
455,Subaru,Generic Model 1,1999,Green,54056,41695,Used
456,Ford,Mustang,2012,Green,147323,24536,Used
457,BMW,Generic Model 1,2012,Blue,108015,39711,New
458,Mazda,Generic Model 2,2004,Blue,90338,42932,Used
459,Chevrolet,Generic Model 1,2010,Green,168290,18765,Used
460,Tesla,Generic Model 3,2011,Silver,63760,14297,New
461,Jeep,Generic Model 1,2020,Green,196724,10415,New
462,BMW,Generic Model 2,1998,Green,77418,77997,New
463,Nissan,Generic Model 2,1997,Red,180763,73708,Used
464,Honda,Odyssey,1992,Blue,175945,9679,New
465,BMW,Generic Model 3,2006,Green,28819,70754,New
466,Lexus,Generic Model 2,1997,Green,164630,8952,New
467,Kia,Generic Model 3,2005,Blue,67824,33733,New
468,Ford,F-150,1994,Blue,56392,56418,Used
469,Mercedes-Benz,Generic Model 1,1993,Green,24608,57625,Used
470,Land Rover,Generic Model 3,2002,Black,159792,28025,Used
471,Land Rover,Generic Model 3,2013,Silver,170180,35927,Used
472,Mazda,Generic Model 3,2008,Silver,28628,69662,Used
473,Nissan,Generic Model 1,1994,Silver,31092,55518,New
